event_id,client_id,event_type,event_date,location
E001,C026,Wedding,2025-08-21,Mosul
E002,C018,Engagement,2025-08-20,Baghdad
E003,C031,Engagement,2025-08-22,Baghdad
E004,C012,Birthday,2025-07-02,Najaf
E005,C011,Wedding,2025-07-14,Erbil
E006,C048,Wedding,2025-09-20,Najaf
E007,C029,Baby Shower,2025-07-09,Erbil
E008,C045,Birthday,2025-07-02,Erbil
E009,C025,Wedding,2025-07-31,Erbil
E010,C001,Baby Shower,2025-08-18,Erbil
E011,C035,Birthday,2025-09-05,Baghdad
E012,C027,Wedding,2025-09-27,Mosul
E013,C006,Engagement,2025-08-11,Baghdad
E014,C033,Baby Shower,2025-09-03,Baghdad
E015,C028,Birthday,2025-08-19,Najaf
E016,C004,Engagement,2025-09-01,Najaf
E017,C024,Engagement,2025-07-16,Erbil
E018,C042,Birthday,2025-07-09,Mosul
E019,C010,Birthday,2025-08-12,Najaf
E020,C042,Graduation,2025-07-12,Basra
E021,C046,Birthday,2025-08-23,Najaf
E022,C030,Birthday,2025-07-24,Basra
E023,C027,Wedding,2025-09-29,Baghdad
E024,C034,Baby Shower,2025-08-21,Baghdad
E025,C030,Graduation,2025-08-08,Najaf
E026,C046,Wedding,2025-08-29,Najaf
E027,C035,Birthday,2025-07-09,Erbil
E028,C002,Engagement,2025-09-09,Baghdad
E029,C020,Baby Shower,2025-09-08,Basra
E030,C036,Graduation,2025-07-31,Basra
E031,C030,Graduation,2025-08-24,Basra
E032,C037,Wedding,2025-09-28,Baghdad
E033,C003,Baby Shower,2025-07-03,Mosul
E034,C015,Birthday,2025-09-12,Basra
E035,C045,Graduation,2025-08-07,Basra
E036,C019,Wedding,2025-07-08,Mosul
E037,C028,Engagement,2025-09-18,Erbil
E038,C030,Wedding,2025-08-09,Basra
E039,C045,Birthday,2025-08-30,Baghdad
E040,C006,Birthday,2025-07-18,Mosul
E041,C024,Baby Shower,2025-08-29,Baghdad
E042,C032,Engagement,2025-08-09,Najaf
E043,C003,Baby Shower,2025-08-14,Mosul
E044,C023,Graduation,2025-07-16,Basra
E045,C046,Birthday,2025-07-02,Mosul
E046,C004,Baby Shower,2025-09-12,Mosul
E047,C050,Birthday,2025-09-18,Mosul
E048,C046,Graduation,2025-08-05,Mosul
